prism_id,last_name,first_name,middle_name,birth_year,birth_month,birth_day,bbref_id,fangraphs_id,mlbam_id,nfbc_id,sfbb_id,yahoo_id
p7vexf8j64,,,,,,,lawreca01,11121,596271,9643,lawreca01,10677
p894hpp6c4,,,,,,,callity01,27497,682997,11142,,11747
p8fcx1d9g4,,,,,,,ruizjo01,14552,614179,9543,ruizjo01,10767
p8jldm4mhh,,,,,,,,sa3005478,677578,10157,,11493
p8xj72z5vh,,,,,,,mejiaju01,23237,675848,11975,,63479
p9epprqrn4,,,,,,,feduchu01,23372,676439,11779,,61268
p9f6wxmcth,,,,,,,yepezju01,18400,660766,11302,yepezju01,12283
pdk1b1bqth,,,,,,,flexech01,13896,623167,9502,flexech01,10769
pdy7g1pej8,,,,,,,hernada04,26224,687231,11920,hernada04,60638
pf9b67ye34,,,,,,,,sa3016584,692013,12287,,64816
pg20jkj5ch,,,,,,,henryco01,27570,669371,11423,,12182
pgx3zt8ykm,,,,,,,palisja01,31598,669449,12416,,63999
pgyl33bqx0,,,,,,,taylosa04,22274,669392,11640,taylosa01,12575
phc2e77c7d,,,,,,,uribeab01,25327,682842,11664,uribeab01,12746
pjf3yjtf64,,,,,,,wittbo02,25764,677951,10932,wittbo02,11771
pkyjbg0bmm,,,,,,,shentau01,25425,668853,10869,shentau01,11994
pkzcf2k7eh,,,,,,,alvaryo01,19556,670541,10367,alvaryo01,10883
pl257qjkg0,,,,,,,quijajo01,19200,650671,10465,quijajo01,11217
plnmljkcjh,,,,,,,coleza01,31583,805904,12461,,62421
pmr920kpqw,,,,,,,montgma01,29770,682254,11621,montgma01,60412
pnbqvzj9zw,,,,,,,alvarjo03,17780,621237,9515,alvarjo03,10692
pp5vxxcrbr,,,,,,,fermijo02,33908,820862,12386,,65071
ppspvvys3r,,,,,,,blubaaj01,31764,805123,12389,blubaaj01,63868
pq5j23nxyd,,,,,,,foleyja01,19531,671345,11127,foleyja01,12204
pqkjxtl6mm,,,,,,,blackty01,29949,672012,11890,blackty01,12478
pr2r5vzrqm,,,,,,,ohtansh01,19755,660271,9810,ohtansh01,10835
psd38jm638,,,,,,,rodrima01,20794,655889,10778,rodrima01,11699
psfyv7mrmr,,,,,,,wilsoja05,33266,805779,12127,wilsoja05,62976
psmhqyvns8,,,,,,,laosa01,21922,666659,12384,,63895
psxn489fe4,,,,,,,ruizes01,21780,665923,10193,ruizes01,11378
pvbszcz9g8,,,,,,,mcguire01,15674,624512,8699,mcguire01,9615
pvgeqb05e0,,,,,,,roach02,27662,685005,11992,,12129
pw4sbcynl4,,,,,,,feddeer01,17425,607200,9719,feddeer01,10229
pwrkg93mpw,,,,,,,luxga01,19955,666158,10203,luxga01,10511
px9bpr5z44,,,,,,,bakerda02,29912,671117,12174,,61820
py6gk7wz4h,,,,,,,hagenju01,21546,663795,12255,,61744
pyfxmgpcq8,,,,,,,tawati01,29571,694374,12250,tawati01,60064
pyhd7c8218,,,,,,,boydma01,15440,571510,9087,boydma01,10011
pynsy55pkw,,,,,,,whiseca01,31676,687931,11956,whiseca01,60381
pz3pjfg91r,,,,,,,raleybr01,10061,548384,8363,raleybr01,9262
pzxp7swn1r,,,,,,,leebr02,31595,686797,11740,leebr02,60266
q0y1w8nkw4,,,,,,,bauerja01,15194,641343,9788,bauerja01,10600
q1563m03mr,,,,,,,amayami01,21693,665804,10290,amayami01,11075
q1djl3rcbw,,,,,,,romerjo01,19574,668941,10528,romerjo01,10931
q1nn7wwjxh,,,,,,,murdono01,27908,668716,12315,,12448
q5ejyyvekw,,,,,,,bryankr01,15429,592178,8644,bryankr01,9558
q5knkk216h,,,,,,,confomi01,16376,624424,8954,confomi01,9875
q5x396c1kw,,,,,,,scholje01,19205,669947,11784,,60630
q61vhqk4zm,,,,,,,raleylu01,19354,670042,10764,raleylu01,11348
q62ne8ktf4,,,,,,,murphch01,26214,669684,11710,murphch01,12376
q77plhe2td,,,,,,,newmake01,17696,621028,10078,newmake01,10564
q7t1jr9mq0,,,,,,,suarero01,30115,663158,11407,suarero01,12354
q7x0q4jqg8,,,,,,,hernate01,13066,606192,9428,hernate01,10366
q8hlbnksmm,,,,,,,wilesna01,25474,686249,12385,,63721
q8xmt7ee0m,,,,,,,allarko01,18694,663465,9790,allarko01,10422
q9521qe6fr,,,,,,,hahnje01,13287,534910,8803,hahnje01,9721
q9pq2qsyxm,,,,,,,francbo01,20548,670102,11130,francbo01,12085
qbftkmzfj0,,,,,,,matthze01,31827,805673,12148,matthze01,63601
qc5gs3y5dr,,,,,,,ashcrgr01,27552,668933,11417,ashcrgr01,12392
qcs9tjzhkm,,,,,,,wilsobr02,19990,669060,10082,wilsobr02,10846
qcxb7jtf24,,,,,,,smithjo11,26396,669701,11441,smithjo11,12562
qdbjwszv34,,,,,,,cookbi01,29573,695257,12180,cookbi01,62430
qdhdpz20qd,,,,,,,nolaau01,15941,543592,9504,nolaau01,11599
qgtts42snm,,,,,,,stevech02,29614,677060,12093,,62197
qj8x9ke8nw,,,,,,,kerkeor01,31776,689147,11876,kerkeor01,60329
qkq6ml8c1m,,,,,,,machama01,11493,592518,7891,machama01,9111
qkxwwlncj0,,,,,,,triolja01,25807,669707,11668,triolja01,12758
qm48vewwzh,,,,,,,yorkeni01,27504,694377,11145,yorkeni01,12123
qmcteey278,,,,,,,brantro01,10655,542963,8369,brantro01,9265
qpjtx9jxe0,,,,,,,manoaal01,26410,666201,10854,manoaal01,11854
qq3bcfq948,,,,,,,rolisry01,22200,669020,10323,,11301
qqdfc9elj8,,,,,,,,sa3018117,694331,12294,,60179
qqmnssb8bm,,,,,,,colliis01,25477,686555,12179,colliis01,61866
qqvxjt44n0,,,,,,,stottbr01,26294,681082,11086,stottbr01,11817
qr62twjc2d,,,,,,,vargaca01,22915,672841,10158,,12093
qr7vfznrhr,,,,,,,abbotan01,29911,671096,11802,abbotan01,12395
